user_id,ip_address,entity_id,veracity,entity_category,entity_category2,entity_set,experiment_id,dwell,n_dwells,mobile,btn_likes,btn_read_later,btn_shares,condition,item_order,ldwell,likes_0,likes_1,read_later_0,read_later_1,shares_0,shares_1,attention,ipblock
1652910426203_slw42,173.19.90.63,o9n_GoG0b,1,news,news_true,oct9_news,eRGOfe,2957,3,0,196,0,11,-0.5,20,7.99193051985248,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_JWYXs,1,news,news_true,oct9_news,eRGOfe,5572,3,0,7821,0,938,-0.5,21,8.6255093348997,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_GaLoT,1,news,news_true,oct9_news,eRGOfe,9267,3,0,10262,0,526,-0.5,22,9.13421498158669,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_aKdMB,1,news,news_true,oct9_news,eRGOfe,4446,3,0,126,0,9,-0.5,23,8.39976009452414,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_yEPnE,1,news,news_true,oct9_news,eRGOfe,5286,3,0,6198,0,501,-0.5,24,8.57281709516423,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_BEAik,1,news,news_true,oct9_news,eRGOfe,14284,3,0,47,0,2,-0.5,25,9.56689530871434,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_nInT1,1,news,news_true,oct9_news,eRGOfe,4869,3,0,189,0,14,-0.5,26,8.4906438561827,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_XMPMk,1,news,news_true,oct9_news,eRGOfe,7937,3,0,443,0,30,-0.5,27,8.97929064909088,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,22apr25_youtube_pop_AZh7Y,,sensational,sensational,22apr25_youtube_pop,eRGOfe,4931,3,0,352,0,19,-0.5,28,8.50329708622413,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_63yRR,1,news,news_true,oct9_news,eRGOfe,4487,3,0,6779,0,1018,-0.5,29,8.40893960597598,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_3KVhy,1,news,news_true,oct9_news,eRGOfe,5802,3,0,356,0,20,-0.5,30,8.66595796468135,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_eyGn7,1,news,news_true,oct9_news,eRGOfe,14639,3,0,11001,0,1774,-0.5,31,9.59144447917141,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_Tct6e,1,news,news_true,oct9_news,eRGOfe,11886,3,0,93,0,8,-0.5,32,9.38311651592661,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_0ekSv,1,news,news_true,oct9_news,eRGOfe,10552,3,0,96,0,15,-0.5,33,9.26407069439715,0,0,0,0,0,0,1,0
1652910426203_slw42,173.19.90.63,o9n_svJNR,1,news,news_true,oct9_news,eRGOfe,7838,3,0,567,0,31,-0.5,34,8.96673897875958,0,0,0,0,0,0,1,0
