user_id,engage_firstheadline,condition
1653356220605_a2x53,1,-0.5
1653356403579_xslvf,0,0.5
1653356506313_aw6az,1,-0.5
1653356561396_jrh2v,1,0.5
1653356599655_ez2ba,0,-0.5
1653357045340_iykco,0,0.5
1653357401806_rs3cc,0,0.5
1653357494049_hrulf,0,0.5
1653357570028_55ugd,1,-0.5
1653357576042_ndxhe,1,-0.5
1653357820842_owp7p,1,-0.5
1653357965274_kqsrw,0,-0.5
1653358008642_76a69,1,0.5
1653358088039_kglyg,0,0.5
1653358274646_1x7iu,0,0.5
1653358807718_w2cfx,0,0.5
1653358860656_nned4,0,-0.5
1653359233265_pdn69,0,-0.5
1653359330210_sfjup,2,-0.5
1653359447240_z7p18,1,-0.5
1653359628391_cbcei,1,-0.5
1653360207755_lq0cb,0,-0.5
1653360738424_xniml,0,-0.5
1653360962923_xnued,1,-0.5
1653360979236_5byan,2,0.5
1653361047832_iav17,0,0.5
1653361302171_gnagi,0,0.5
1653361337095_5jun7,1,-0.5
1653361351291_khf63,1,-0.5
1653361577741_1ybw8,0,-0.5
1653362351825_lmrha,3,0.5
1653362523547_i99mr,0,0.5
1653362745095_52w84,1,-0.5
1653362814777_2vy5m,3,0.5
1653363578644_xs89c,0,-0.5
1653363761977_h4ip1,0,0.5
1653364293213_p88rj,0,0.5
1653364801250_efgmm,1,-0.5
1653365851853_c1637,1,0.5
1653366673147_zqou8,0,-0.5
1653366982455_lts4s,1,-0.5
1653368298123_ng17y,0,0.5
1653368501187_h2aqu,0,-0.5
1653369852429_qbzfy,0,-0.5
1653370977266_n9f55,1,-0.5
1653373838752_d7qa1,0,-0.5
1653374089608_nqusu,0,0.5
1653374833713_3o55d,1,-0.5
1653376580828_9vfzv,0,-0.5
1653376883982_fkw37,1,-0.5
1653377946203_1id6p,0,-0.5
1653379099208_9ccqh,2,0.5
1653380953563_oid0g,2,-0.5
1653383724930_o2bvl,1,0.5
1653383746874_k287y,1,-0.5
1653384301105_n7ko3,1,0.5
1653385013325_un9ox,2,-0.5
1653389161237_g4gtr,1,0.5
1653389691896_p7cts,0,0.5
1653390514902_9abzj,1,0.5
1653391439917_hxivf,0,0.5
1653393726909_2kxuu,0,-0.5
1653393898214_52rds,1,0.5
1653394207594_0ho5i,1,0.5
1653394475519_jbo4g,0,-0.5
1653395015904_ycm4o,0,-0.5
1653395641831_d80av,1,0.5
1653395670000_kcdpo,1,-0.5
1653396333842_54an8,0,0.5
1653396475473_ql8de,1,0.5
1653396475731_bde43,0,0.5
1653397172700_vy12l,1,0.5
1653397271465_dld6l,0,0.5
1653398434778_6s1eu,0,0.5
1653399424260_e0z00,0,-0.5
1653399792043_3c1gn,0,-0.5
1653400370699_o1vnb,0,-0.5
1653400578883_kox9n,1,-0.5
1653400627838_ioioc,0,-0.5
1653400812623_43mto,0,-0.5
1653401111790_05d3b,0,-0.5
1653401199179_8dap1,1,-0.5
1653401818340_088ge,1,0.5
1653402318796_kackk,1,-0.5
1653402440045_yppls,1,-0.5
1653402534916_b74tw,1,0.5
1653402679192_xipn7,1,0.5
1653402882766_73q0u,2,-0.5
1653403302226_6bbrd,0,0.5
1653403571864_xdzzl,0,0.5
1653403767186_deof9,1,0.5
1653404343880_kqtw2,0,-0.5
1653404713697_d0kxe,0,-0.5
1653404752415_xsy6k,0,0.5
1653404992433_yzffv,1,0.5
1653405348224_1gdtq,0,0.5
1653406142280_y8vrz,0,0.5
1653406582460_0gfg0,0,0.5
1653406957703_ho38m,0,-0.5
1653407503040_ugkmf,0,-0.5
1653407559469_clzno,1,0.5
1653407827449_yzypd,1,-0.5
1653407863773_1f4jq,0,0.5
1653408380925_w2qzr,1,-0.5
1653408498581_nrqm9,1,-0.5
1653408649117_3bz6g,1,0.5
1653409255241_is890,1,0.5
1653409589786_jy5vo,0,0.5
1653409672900_eq3y5,0,-0.5
1653409931523_p1tj5,0,0.5
1653409969979_mdkgs,1,0.5
1653410543059_iz98z,2,-0.5
1653410574380_e95ug,1,0.5
1653410663954_feqaz,1,-0.5
1653410983161_7796s,2,-0.5
1653411049545_r0yhx,0,-0.5
1653411348330_uc3mn,0,-0.5
1653411421741_5ev2j,0,-0.5
1653411824658_mpi2k,1,0.5
1653412721680_0saal,0,0.5
1653413081176_gqsef,1,0.5
1653413766326_ma2cm,1,-0.5
1653413843788_0b9cj,1,0.5
1653414158823_b9hlk,2,-0.5
1653414432752_jphz1,0,-0.5
1653414804677_q0n7l,0,-0.5
1653415220296_hwea3,0,0.5
1653415288966_zvzxk,0,0.5
1653416141428_lqrrj,1,-0.5
1653416871874_cx1k6,1,0.5
1653417202234_jcj6f,0,0.5
1653417434782_pco28,1,0.5
1653417502517_w1mqx,1,0.5
1653417928939_5y2eu,1,-0.5
1653418271558_gve85,1,0.5
1653418271881_179d7,0,-0.5
1653418354764_b30qy,2,-0.5
1653419288869_gnhgz,0,-0.5
1653419322996_03vbq,1,0.5
1653419876089_8nqsa,0,0.5
1653420050742_o7jlm,3,0.5
1653420055657_6q870,1,-0.5
1653420783023_msqwo,1,0.5
1653420980083_v1syl,0,0.5
1653421446891_nd7ks,1,-0.5
1653421506024_qhb65,1,0.5
1653421644402_l5yfs,1,-0.5
1653421708948_fqezn,3,0.5
1653421797068_kwohd,1,0.5
1653421958668_9vsi9,0,0.5
1653422545612_uwphn,0,-0.5
1653422637104_xonvn,0,-0.5
1653423323160_6lq0t,0,-0.5
1653423837925_mqmqf,1,0.5
1653424145491_yct6p,0,0.5
1653424371574_af0dw,0,0.5
1653426722706_9lnn9,2,0.5
1653427633864_s7h97,0,-0.5
1653428039543_qhq3y,1,-0.5
1653428227258_nggbg,1,0.5
1653429070322_1uh20,0,-0.5
1653429092868_ewl8j,1,-0.5
1653429289744_pk2hf,0,0.5
1653429396245_oucm0,0,-0.5
1653429495903_mo83s,0,-0.5
1653429506285_4zyct,0,-0.5
1653429721143_o95wa,1,-0.5
1653430124642_deg3g,0,0.5
1653430166194_heojs,1,-0.5
1653432564766_kqb8e,1,-0.5
1653432674850_5s0lb,0,-0.5
1653433957332_bayvr,0,0.5
1653434083510_o5ehi,0,0.5
1653434335975_ffpxh,0,-0.5
1653434338616_1g89b,2,-0.5
1653434593970_enqyl,0,-0.5
1653435015992_lqueb,1,-0.5
1653435253330_bur3x,0,0.5
1653435442723_2597e,0,-0.5
1653435631399_zr99i,0,0.5
1653435757371_s3udv,3,-0.5
1653436026839_6l66y,1,0.5
1653436604265_w2p02,1,0.5
1653437561912_en482,1,0.5
1653438106155_mu6od,0,0.5
1653439089665_481td,1,-0.5
1653439110631_hic4j,2,0.5
1653439666632_m2jh6,0,0.5
1653440068428_y8imt,0,0.5
1653440418222_m0ue2,0,0.5
1653441180099_4m6ad,0,-0.5
1653441281690_mohx6,2,0.5
1653441617861_9er99,1,0.5
1653441977637_jsub4,1,0.5
1653442068751_922va,0,-0.5
1653442125879_cpkk2,0,0.5
1653443135195_42cgc,0,-0.5
1653444996664_csgv8,0,-0.5
1653445006651_4gje7,1,0.5
1653446383783_httg1,0,0.5
1653447072348_c7ogi,1,0.5
1653447604941_v07hj,2,0.5
1653447998441_sa8xk,0,0.5
1653448255660_rdrqn,4,0.5
1653449272955_27zna,1,-0.5
1653449434644_p9sko,0,0.5
1653449783698_rm1z6,2,0.5
1653450284530_jkxbr,1,0.5
1653451735346_2akt9,0,-0.5
1653451825502_zh3mc,1,-0.5
1653452371624_wamhq,1,0.5
1653452457790_jzp9y,0,-0.5
1653452616629_no3wh,0,0.5
1653455150041_kx7i5,1,0.5
1653455560920_njjea,0,0.5
1653456817060_2ncaj,1,0.5
1653457482190_j81n1,1,-0.5
1653457526228_fc2yh,0,0.5
1653458494748_wb6s1,0,0.5
1653466549508_jf7mb,1,0.5
1653472093735_s6frg,0,0.5
1653472906007_yp72z,1,0.5
1653473296611_e9ywy,1,0.5
1653473848451_aowfc,1,-0.5
1653477215675_rqrzn,0,-0.5
1653477445015_h69ak,0,0.5
1653479020475_sp4lk,0,0.5
1653481746948_jcgrv,1,-0.5
1653482009188_tpntj,1,-0.5
1653482537983_3ra3p,1,0.5
1653482850833_0u2ak,1,-0.5
1653483689380_uq9fu,0,0.5
1653485247137_ymeqt,0,-0.5
