user_id,condition,first15,remaining,dwell_diff
1653065774561_a8qpf,0.5,2340,2517.63157894737,177.631578947368
1653065864585_sz0vh,-0.5,,,
1653066058315_pw4nx,0.5,8167.5,3680.92,-4486.58
1653066121758_v22gk,0.5,,5723.33333333333,
1653066170339_8jixo,0.5,,4201,
1653066329389_sw6e2,0.5,3999.5,499.642857142857,-3499.85714285714
1653066404661_tq0ad,0.5,,769.5,
1653066508437_2xsph,0.5,,,
1653066821455_0javt,0.5,9315.4,4376.74074074074,-4938.65925925926
1653066943851_x9hbx,-0.5,,,
1653067326177_nwifo,-0.5,,,
1653067453645_gh45j,-0.5,,,
1653067655731_3b0m8,0.5,,9430.66666666667,
1653067657131_r2qxd,0.5,9764.5,10036.875,272.375
1653067731504_32h4z,-0.5,,,
1653067932921_4hdhh,0.5,8285.2,6581.12,-1704.08
1653068293962_2g6se,0.5,4170.4,1923.8,-2246.6
1653068301192_1uk6e,0.5,3550,2863.83333333333,-686.166666666667
1653068567528_9p83n,-0.5,,,
1653068809449_txq47,0.5,10175,11543.6666666667,1368.66666666667
1653069110966_23amy,0.5,491.5,300.241379310345,-191.258620689655
1653069237602_0jope,0.5,2220,3877.46153846154,1657.46153846154
1653069372123_vm3jv,0.5,1340.33333333333,2091.83333333333,751.5
1653069457136_cubx8,0.5,5726,5490.04166666667,-235.958333333333
1653069674223_tne03,0.5,6082.5,1012.65217391304,-5069.84782608696
1653069837219_4ojrt,-0.5,,,
1653069997167_bwb2l,-0.5,,,
1653070235449_68yar,0.5,19996,4360.61538461539,-15635.3846153846
1653070916244_2rb0r,0.5,7273.5,3584.88888888889,-3688.61111111111
1653071068571_tldu2,0.5,486.25,395.444444444445,-90.8055555555555
1653072266769_9om6z,0.5,,2096.66666666667,
1653072289849_71f71,-0.5,,,
1653072519522_iujag,0.5,57,84.8518518518519,27.8518518518519
1653072683530_krh92,0.5,2469,2761.25,292.25
1653072803706_1tsod,-0.5,,,
1653072854353_nrgyz,-0.5,,,
1653073046076_fb0a3,-0.5,,,
1653074642010_onmyb,-0.5,,,
1653074691197_8r0jg,0.5,764,1091.82142857143,327.821428571429
1653075311256_2pp88,0.5,,16089,
1653075414270_mjsxj,-0.5,,,
1653075567849_iysnd,-0.5,,,
1653075856902_bqyv1,0.5,,11848.75,
1653076007896_u0rh0,-0.5,,,
1653076225370_6cy56,0.5,4949,2619.76,-2329.24
1653076500521_e6x22,0.5,790,926.714285714286,136.714285714286
1653076544140_zp526,-0.5,,,
1653076764370_3tvqx,0.5,1010.25,889.464285714286,-120.785714285714
1653076776315_v4iw1,0.5,,1622.83333333333,
1653076799193_vjcuf,0.5,9685.66666666667,4071.75862068966,-5613.90804597701
1653076802584_2cfyi,0.5,1701.33333333333,454.555555555556,-1246.77777777778
1653076859144_69llu,0.5,,276.928571428571,
1653077268605_edwa3,0.5,555,180.75,-374.25
1653077322737_wv47n,-0.5,,,
1653077326379_7s16l,0.5,4236.5,4705,468.5
1653077735128_hyppz,-0.5,,,
1653078427543_nngmi,-0.5,,,
