user_id,condition,first15,remaining,dwell_diff
1653060869132_1ud4e,0.5,3717,468.333333333333,-3248.66666666667
1653060898883_ybeop,-0.5,,,
1653060899172_wodo6,0.5,5377.33333333333,4603.37037037037,-773.962962962963
1653061018955_tayrp,-0.5,,,
1653061087712_647b1,0.5,4305.8,4907.11538461539,601.315384615385
1653061215034_67566,-0.5,,,
1653061230226_7kekk,-0.5,,,
1653061260894_c77bd,0.5,4475.2,2181.03703703704,-2294.16296296296
1653061410005_3gk6c,0.5,5433.4,2055.45833333333,-3377.94166666667
1653061489434_cin1n,0.5,16900.5,9737.34615384615,-7163.15384615385
1653061560459_fqe3j,-0.5,,,
1653061860720_nh4cp,0.5,4429.33333333333,2591.78571428571,-1837.54761904762
1653061981238_qunfj,-0.5,,,
1653062005559_od6jw,0.5,8979.66666666667,4599.96153846154,-4379.70512820513
1653062029852_8jzvt,0.5,4526.75,2801.32142857143,-1725.42857142857
1653062041823_hj1cl,-0.5,,,
1653062126903_k05zo,-0.5,,,
1653062431620_hmdhi,-0.5,,,
1653062490527_olp76,-0.5,,,
1653062660536_840w8,0.5,909.333333333333,895.857142857143,-13.4761904761905
1653062919216_opvfj,-0.5,,,
1653063038412_oziyo,-0.5,,,
1653063609947_eey80,-0.5,,,
1653063862236_i7wek,0.5,12920,9680.33333333333,-3239.66666666667
1653064099716_v42ch,0.5,9496.6,3894.11538461538,-5602.48461538462
1653064268900_lz9ct,-0.5,,,
1653064326250_ob0i0,-0.5,,,
1653064729086_gjz5e,0.5,8443,6154.42857142857,-2288.57142857143
1653064791110_25epr,0.5,10719.3333333333,6190.11111111111,-4529.22222222222
1653064863783_6mkhv,0.5,736.5,1032.25,295.75
1653065056839_176cu,-0.5,,,
1653065211515_1ibfd,0.5,8318.16666666667,4606.41666666667,-3711.75
1653065236336_bd1xw,-0.5,,,
1653065562281_arrob,0.5,7376.33333333333,4930.44,-2445.89333333333
1653065566688_mzw3c,0.5,6581,3477.55555555556,-3103.44444444444
1653065677467_ejw9v,-0.5,,,
1653065774561_a8qpf,0.5,5262,2812.17857142857,-2449.82142857143
1653065844736_5x7gn,-0.5,,,
1653065864585_sz0vh,-0.5,,,
1653065948421_78u13,-0.5,,,
1653066058315_pw4nx,0.5,8888.25,4083.64285714286,-4804.60714285714
1653066121758_v22gk,0.5,12858.75,8361.69565217391,-4497.05434782609
1653066170339_8jixo,0.5,1891.66666666667,2762.7037037037,871.037037037037
1653066184875_p3hcw,-0.5,,,
1653066329389_sw6e2,0.5,3999.5,499.642857142857,-3499.85714285714
1653066404661_tq0ad,0.5,6881.66666666667,1044.03703703704,-5837.62962962963
1653066508437_2xsph,0.5,2691.25,1695.42307692308,-995.826923076923
1653066621026_635f0,-0.5,,,
1653066622604_f8zt8,-0.5,,,
1653066821455_0javt,0.5,9315.4,4376.74074074074,-4938.65925925926
1653066943851_x9hbx,-0.5,,,
1653067326177_nwifo,-0.5,,,
1653067453645_gh45j,-0.5,,,
1653067655731_3b0m8,0.5,8929.5,9581.08,651.58
