"time_stamp","time_engagement","time_content_viewed","user_id","entity_id","condition","experiment_id","engagement_type","response","accuracy_score","entity_category","entity_set","entity_url","ip_address","item_order","likes","read_later","shares","user_agent"
"1653783706922","-1","1653782978449","1653780032930_azhr1","22052625_youtubepopular_Jv2mm","1","e0j5KD","dwell","2981","-1","news","22052625_youtubepopular","https://ucarecdn.com/8172c6a0-2c6f-43b8-812c-4a709c685e5b/","47.14.139.240","10","21","0","1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782987892","1653782986977","1653782981529","1653780032930_azhr1","22052625_youtubepopular_raiOT","1","e0j5KD","likes","1","-1","news","22052625_youtubepopular","https://ucarecdn.com/ce091ad3-08b1-43b3-8095-080a973b48c3/","47.14.139.240","11","36","0","2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782981529","1653780032930_azhr1","22052625_youtubepopular_raiOT","1","e0j5KD","dwell","6035","-1","news","22052625_youtubepopular","https://ucarecdn.com/ce091ad3-08b1-43b3-8095-080a973b48c3/","47.14.139.240","11","36","0","2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782990102","1653782989392","1653782987632","1653780032930_azhr1","o9n_GF6LK","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20poll%20numbers%20slide.png","47.14.139.240","12","906","0","173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782987632","1653780032930_azhr1","o9n_GF6LK","1","e0j5KD","dwell","2313","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20poll%20numbers%20slide.png","47.14.139.240","12","906","0","173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782992032","1653782991312","1653782989992","1653780032930_azhr1","o9n_nInT1","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Chicago%20employees%20challenge%20vaccine%20in%20a%20lawsuit.png","47.14.139.240","13","62","0","3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782989992","1653780032930_azhr1","o9n_nInT1","1","e0j5KD","dwell","1700","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Chicago%20employees%20challenge%20vaccine%20in%20a%20lawsuit.png","47.14.139.240","13","62","0","3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782995038","1653782994278","1653782991727","1653780032930_azhr1","o9n_LofXh","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_US%20to%20use%20Pak%20airspace%20for%20military%20operations.png","47.14.139.240","14","777","0","90","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653783706922","-1","1653782991727","1653780032930_azhr1","o9n_LofXh","1","e0j5KD","dwell","782","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_US%20to%20use%20Pak%20airspace%20for%20military%20operations.png","47.14.139.240","14","777","0","90","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
"1653782997568","1653782996857","1653782994993","1653780032930_azhr1","o9n_7omln","1","e0j5KD","read_later","1","-1","news","oct9_news","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_migrant%20caravan%20headed%20to%20US%20border.png","47.14.139.240","15","1912","0","130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.53"
