user_id,engage_firstheadline,condition
1653937082887_a86d9,0,0.5
1653941802273_lppbe,2,-0.5
1653944021849_vmdr4,1,0.5
1654004989262_9lo11,0,0.5
1654019189402_ebjvk,1,-0.5
1654019202590_r5ba9,0,-0.5
1654019217166_q1hwi,1,0.5
1654019218381_ub6k5,0,-0.5
1654019250309_iu6h5,1,0.5
1654019259896_qsuse,0,0.5
1654019273659_n0vr2,1,0.5
1654019281636_7rup9,1,0.5
1654019282914_f9vq6,0,-0.5
1654019288142_anzvf,0,-0.5
1654019289068_50cl5,1,0.5
1654019289624_grpmt,1,0.5
1654019292180_3kqm7,1,0.5
1654019296831_1dmpr,0,-0.5
1654019298078_z6qgm,0,0.5
1654019298079_i01oq,0,0.5
1654019299368_xcvml,0,0.5
1654019300874_7zk5z,0,0.5
1654019316460_nrh0j,0,0.5
1654019319119_dmvf0,0,-0.5
1654019325598_au7nm,1,-0.5
1654019331723_gogzw,1,0.5
1654019351291_6zz0m,0,0.5
1654019352014_rpvql,1,0.5
1654019352269_sarc0,2,-0.5
1654019355279_2zcgt,0,0.5
1654019367368_5e07k,0,0.5
1654019375187_0m9ag,1,-0.5
1654019375916_3ju7l,0,0.5
1654019400961_8ilq8,0,0.5
1654019415284_ujt08,0,-0.5
1654019421410_vhx22,0,-0.5
1654019441014_3kqnx,1,-0.5
1654019453242_e1d3p,0,-0.5
1654019465475_qjalu,0,0.5
1654019487924_alf5g,0,-0.5
1654019491538_rdveq,1,-0.5
1654019504352_l2sfx,0,-0.5
1654019530284_o0mvp,0,-0.5
1654019551208_ykjpr,1,0.5
1654019581752_rmx1h,1,-0.5
1654019584574_8hkv0,0,0.5
1654019612970_1by3d,1,-0.5
1654019635341_t2hn8,1,0.5
1654019669778_22qox,0,-0.5
1654019686449_ngq7l,2,-0.5
1654019694612_lsfuq,1,0.5
1654019716752_iwuvv,2,0.5
1654019717850_thddg,0,0.5
1654019729748_65pv3,2,-0.5
1654019773848_rdrd1,1,-0.5
1654019774019_7dkw5,0,0.5
1654019803035_xbvbh,2,-0.5
1654019812399_xlq63,0,0.5
1654019812886_sswp2,1,-0.5
1654019828520_8d3zy,1,-0.5
1654019862281_tsmru,0,-0.5
1654019868389_r5n1c,1,-0.5
1654019870272_42y66,0,-0.5
1654019969798_w7q5z,0,0.5
1654020039363_jqavp,1,0.5
1654020039572_f0tqz,0,0.5
1654020058936_t3dhj,0,0.5
1654020169650_fycsv,1,0.5
1654020172413_f7phr,0,0.5
1654020250120_t3kds,0,-0.5
1654020358389_m5r1v,0,-0.5
1654020358461_zsrea,1,-0.5
1654020363340_lpq7v,0,-0.5
1654020521700_h0jq2,0,0.5
1654020576848_27fjv,1,-0.5
1654020640440_lf9j2,1,0.5
1654020641218_eobp0,1,-0.5
1654020658951_fmwwd,1,-0.5
1654020677505_qyxys,2,-0.5
1654020680014_aewwc,1,0.5
1654020711954_beeks,0,-0.5
1654020745328_lgs5n,0,0.5
1654020751178_9c1eb,0,-0.5
1654020810731_p5z76,0,0.5
1654020844452_lk0ts,1,-0.5
1654020851431_kzls3,2,-0.5
1654020861153_zgikn,0,-0.5
1654020950243_ce3x4,0,-0.5
1654020989556_hi5ta,0,-0.5
1654020991209_rsoia,1,-0.5
1654021000600_z29jm,0,0.5
1654021002526_7wpph,1,-0.5
1654021014182_1elf3,1,0.5
1654021093455_nsf7e,0,-0.5
1654021155194_j7opu,0,-0.5
1654021171828_pfmi8,1,0.5
1654021177103_n4s2a,1,-0.5
1654021198375_jbzqo,0,-0.5
1654021241597_mi7vw,0,-0.5
1654021246273_1sw6j,0,0.5
1654021248173_scz4h,1,0.5
1654021262174_b6if7,0,0.5
1654021326453_powpj,0,-0.5
1654021398567_r85rb,1,0.5
1654021425718_4nm8z,1,0.5
1654021428937_9wsna,0,-0.5
1654021431061_gmllr,0,-0.5
1654021448167_60led,0,-0.5
1654021460890_gsvkn,0,0.5
1654021467458_zp5g5,1,-0.5
1654021479895_0tdku,0,0.5
1654021523034_e6omz,0,0.5
1654021574008_iw6fn,1,0.5
