user_id,condition,first15,remaining,dwell_diff
1651519059957_oh0ck,0.5,9167,4086.84,-5080.16
1651519131148_jm8ib,0.5,7717,6197.125,-1519.875
1651519136128_lku4q,-0.5,,,
1651519227702_7nmx1,0.5,3038.75,1107.24,-1931.51
1651519241011_dg7ud,-0.5,,,
1651519527499_8qd0h,0.5,,6019.36842105263,
1651519539406_ax82x,0.5,5407.16666666667,1907.8,-3499.36666666667
1651519626014_z3357,-0.5,,,
1651519835119_6h6fu,0.5,843,1050.77777777778,207.777777777778
1651519875583_2gs8m,0.5,5294.75,2132.34615384615,-3162.40384615385
1651520067958_k1ars,0.5,10384,3471.86956521739,-6912.13043478261
1651520133184_qpoo2,-0.5,,,
1651520354987_s1bwd,-0.5,,,
1651520377814_elrsj,-0.5,,,
1651520381061_xjnre,0.5,1673.5,1331.77777777778,-341.722222222222
1651520382842_cqou9,0.5,6235,7187.42307692308,952.423076923077
1651520498211_kntlr,0.5,9247.5,9230.04347826087,-17.45652173913
1651523740282_aak52,-0.5,,,
1651524728847_e333h,0.5,4465.5,3770.125,-695.375
1651548215563_2s9q8,0.5,4050.14285714286,1273.90909090909,-2776.23376623377
1651548412403_dkekd,-0.5,,,
1651548542812_m4swe,0.5,,1583.82608695652,
1651548552815_db3vy,0.5,,4757.26666666667,
1651548577122_iuley,0.5,7218.66666666667,5483.33333333333,-1735.33333333333
1651548594072_alys0,-0.5,,,
1651548729452_fekte,0.5,2773.16666666667,1746.36,-1026.80666666667
1651549053628_177tx,0.5,8933.5,4912.05,-4021.45
1651549152196_gvsdy,0.5,5975,5837.71428571429,-137.285714285715
1651549267543_ooccz,0.5,8458,4728.6,-3729.4
1651549382841_p0pcy,0.5,80.5,1517.2962962963,1436.7962962963
1651549465124_sj2fu,-0.5,,,
1651549594375_ig5xi,-0.5,,,
1651550321161_h4cil,-0.5,,,
1651550422004_2c5j8,0.5,3872,8942.03571428571,5070.03571428571
1651550672980_z7kv4,0.5,8904.5,8049.57692307692,-854.923076923077
1651550711001_2u3tt,0.5,7053.2,1506.76,-5546.44
1651551305090_ok2e2,0.5,5476,1984.53846153846,-3491.46153846154
1651551598628_fckur,0.5,14255.5,14244.5384615385,-10.961538461539
1651551617507_tmlpb,-0.5,,,
1651551693891_cmfx1,0.5,16912.7142857143,11066.6818181818,-5846.03246753247
1651552478799_7vb6b,-0.5,,,
1651552515674_l4fci,0.5,3961.75,2173.65217391304,-1788.09782608696
1651552578814_d1ei0,0.5,,550.913043478261,
1651552851680_erp0k,-0.5,,,
1651553260651_vwxvn,0.5,470.333333333333,1751.44,1281.10666666667
1651553752006_gpjcx,0.5,8788.5,6168.66666666667,-2619.83333333333
1651554164633_oru7w,-0.5,,,
1651554950442_ilpxy,-0.5,,,
1651554987512_0w1c3,-0.5,,,
1651555338215_zhd7c,-0.5,,,
1651555703201_dacvu,-0.5,,,
1651555788403_i0hcv,0.5,17308.4,3336.68,-13971.72
1651556468784_01b9a,0.5,8192,1762.11111111111,-6429.88888888889
1651558804676_xjl9o,-0.5,,,
1651560033647_kn9np,-0.5,,,
1651561294366_1l0ie,0.5,373.5,373.230769230769,-0.269230769230774
1651563324932_25agn,0.5,5121.25,5693.25,572
1651565058999_hipve,0.5,15000,7480.85185185185,-7519.14814814815
1651565601549_cnbf3,0.5,14233.3333333333,3989.5625,-10243.7708333333
1651567054472_rie32,0.5,8562.66666666667,4413.57692307692,-4149.08974358974
1651567154970_1mjxo,-0.5,,,
1651569372376_74fx3,-0.5,,,
1651569382777_eqkto,0.5,,215.588235294118,
