user_id,engage_firstheadline,condition
1651518865454_50mjm,0,-0.5
1651518879057_f3x9p,1,-0.5
1651518881904_d31mc,1,0.5
1651519028219_jcbr0,0,0.5
1651519056026_d7ntl,0,0.5
1651519059957_oh0ck,1,0.5
1651519131148_jm8ib,1,0.5
1651519136128_lku4q,0,-0.5
1651519227702_7nmx1,0,0.5
1651519241011_dg7ud,0,-0.5
1651519527499_8qd0h,1,0.5
1651519539406_ax82x,0,0.5
1651519552296_g4cjr,2,-0.5
1651519626014_z3357,0,-0.5
1651519745337_dgdsn,1,-0.5
1651519835119_6h6fu,0,0.5
1651519875583_2gs8m,0,0.5
1651520067958_k1ars,1,0.5
1651520133184_qpoo2,0,-0.5
1651520354987_s1bwd,0,-0.5
1651520377814_elrsj,0,-0.5
1651520381061_xjnre,0,0.5
1651520382842_cqou9,1,0.5
1651520404370_r3ry3,3,-0.5
1651520498211_kntlr,0,0.5
1651523740282_aak52,0,-0.5
1651524728847_e333h,0,0.5
1651548215563_2s9q8,1,0.5
1651548250022_59h1p,1,0.5
1651548294828_hmd9z,2,-0.5
1651548410287_y5nrr,1,-0.5
1651548412403_dkekd,0,-0.5
1651548542812_m4swe,1,0.5
1651548552815_db3vy,1,0.5
1651548577122_iuley,0,0.5
1651548594072_alys0,0,-0.5
1651548729452_fekte,1,0.5
1651549053628_177tx,1,0.5
1651549152196_gvsdy,1,0.5
1651549267543_ooccz,0,0.5
1651549382841_p0pcy,0,0.5
1651549465124_sj2fu,0,-0.5
1651549594375_ig5xi,0,-0.5
1651549942089_334yi,1,-0.5
1651550053725_zu29t,1,-0.5
1651550259993_7q652,1,-0.5
1651550321161_h4cil,0,-0.5
1651550422004_2c5j8,0,0.5
1651550672980_z7kv4,0,0.5
1651550691706_cfaod,1,-0.5
1651550711001_2u3tt,0,0.5
1651550755641_4d3ht,1,-0.5
1651551305090_ok2e2,0,0.5
1651551361534_b6v99,1,-0.5
1651551598628_fckur,1,0.5
1651551617507_tmlpb,0,-0.5
1651551693891_cmfx1,1,0.5
1651551774743_abpty,1,-0.5
1651552478799_7vb6b,0,-0.5
1651552515674_l4fci,1,0.5
1651552578814_d1ei0,1,0.5
1651552851680_erp0k,0,-0.5
1651553260651_vwxvn,0,0.5
1651553752006_gpjcx,0,0.5
1651554164633_oru7w,0,-0.5
1651554950442_ilpxy,0,-0.5
1651554987512_0w1c3,0,-0.5
1651555338215_zhd7c,0,-0.5
1651555591811_2z063,1,-0.5
1651555703201_dacvu,0,-0.5
1651555788403_i0hcv,0,0.5
1651556233608_f1ll2,1,-0.5
1651556468784_01b9a,0,0.5
1651558804676_xjl9o,0,-0.5
1651560033647_kn9np,0,-0.5
1651560493508_u6cf6,1,-0.5
1651561294366_1l0ie,0,0.5
1651561675024_3zfhu,1,-0.5
1651562516037_py141,1,-0.5
1651562547051_f6c5q,3,-0.5
1651562581460_wdyst,1,0.5
1651563324932_25agn,0,0.5
1651564591668_opc68,1,-0.5
1651565058999_hipve,0,0.5
1651565601549_cnbf3,1,0.5
1651567054472_rie32,0,0.5
1651567154970_1mjxo,0,-0.5
1651567429813_15yp2,2,0.5
1651568357068_a9g6x,1,-0.5
1651569372376_74fx3,0,-0.5
1651569382777_eqkto,1,0.5
1651572821920_5d83b,0,0.5
1651572917842_n3h7p,0,-0.5
1651572926853_ts396,1,-0.5
1651573259741_xeqx2,1,0.5
1651573697111_6zxqs,1,0.5
1651574309397_x9r9h,0,-0.5
1651575379150_kjx59,0,-0.5
1651575421872_5c540,0,-0.5
1651577010206_zxt8q,1,0.5
1651577025607_apddc,1,0.5
1651577095864_q44d9,0,-0.5
1651577483555_z2ykl,0,0.5
1651577683059_9nd7k,1,-0.5
1651578013153_jzo8t,0,-0.5
1651578081219_bvgv3,1,0.5
1651578200716_cssz4,2,-0.5
1651579604246_w8z2m,0,-0.5
1651579676265_t405t,0,-0.5
1651579777141_cfley,1,-0.5
1651579898838_llv9n,1,-0.5
1651579930778_rug9p,2,-0.5
1651580224061_0odqa,0,0.5
1651580500643_5pyu3,0,0.5
1651580515551_fq6ji,0,0.5
1651580919145_awqmx,1,0.5
1651580981039_lojm6,1,-0.5
1651581037473_ea45j,1,0.5
1651581098284_4wpxk,0,0.5
1651581258141_xze8f,2,0.5
1651581618566_pg5p7,2,-0.5
1651581674604_pweli,0,-0.5
1651581838551_sxqp1,1,0.5
1651581862538_zj98v,0,-0.5
1651581894721_4cm9a,0,0.5
1651581924365_44547,1,0.5
1651582133000_vl5f9,1,-0.5
1651582260494_o1q6j,2,0.5
1651582304075_x2h4z,1,-0.5
1651582475373_s3g8d,1,-0.5
1651582628578_jxnbw,2,0.5
1651582638613_i5x9x,3,0.5
1651582665724_v7dle,0,0.5
1651582893002_h3a3i,1,0.5
1651582906227_9qszh,0,-0.5
1651582919591_195dt,1,-0.5
1651583270600_kqy6e,0,-0.5
1651583366060_ty517,0,-0.5
1651583542487_adcpc,0,-0.5
1651583804703_6kmks,2,-0.5
1651583841450_3dzj4,0,0.5
1651583894947_tt350,0,-0.5
1651584103029_i7737,0,0.5
1651584113875_n8kly,1,0.5
1651584225136_hgb8p,2,-0.5
1651584311595_yjx58,0,-0.5
1651584499003_46ugn,0,-0.5
1651584540100_7x52k,1,-0.5
1651584637690_s0nxh,1,0.5
1651584789553_n4aqo,0,-0.5
1651584819165_nhm6f,0,-0.5
1651584877369_pu3rd,1,0.5
1651584964504_7pkab,1,0.5
1651585327181_re5op,1,0.5
1651585382778_x579e,0,0.5
1651585499505_7sqbs,0,-0.5
1651585501820_5ptkf,1,0.5
1651585601083_lqere,2,-0.5
1651585919372_6gudg,1,-0.5
1651585928646_mkmsf,0,0.5
1651586102794_dlprr,2,-0.5
1651586151849_yjrda,0,0.5
1651586160033_az3x1,1,-0.5
1651586282281_yyhtm,1,-0.5
1651586358597_c3b7q,0,0.5
1651586556766_2ah8y,1,0.5
1651586566670_no341,0,0.5
1651586569833_r7pba,1,-0.5
1651586694212_h8l60,1,0.5
1651586906511_xoizf,0,0.5
1651586937990_n8lyy,0,0.5
1651586973549_tsm2w,0,0.5
1651587043511_d9497,1,0.5
1651587213111_1xaqg,0,0.5
1651587411364_1djin,0,0.5
1651587592865_la7ii,1,-0.5
1651587610846_6vmre,0,-0.5
1651587778203_ddh0i,2,-0.5
1651588199123_btafb,0,-0.5
1651588317901_dmnld,0,0.5
1651588317963_dxolh,0,-0.5
1651588483214_v489l,0,-0.5
1651588523210_u9zca,0,-0.5
1651588551027_zmwa7,2,-0.5
1651588560519_hr4zg,0,0.5
1651588804565_dpby6,1,0.5
1651588912879_y8y5e,0,0.5
1651588942134_nyhwn,0,0.5
1651588947071_3xa5k,1,0.5
1651589166813_i9jtw,1,-0.5
1651589275423_o3xhh,0,-0.5
1651589422648_eko8t,0,0.5
1651589812934_nx04g,2,-0.5
1651589828960_ryaop,0,-0.5
1651590205337_sf7sz,1,-0.5
1651590347445_d0tfn,1,-0.5
1651590443614_4wpld,0,-0.5
1651590456919_jgmse,0,0.5
1651590564054_e98vi,1,0.5
1651590609640_ahwl6,2,0.5
1651590828764_kc8vc,0,-0.5
1651590832644_y9tbt,0,-0.5
1651591043450_3y7on,1,0.5
1651591185468_mme6m,0,0.5
1651591207189_e8mls,1,0.5
1651591232753_ta30d,1,-0.5
1651591409150_xpug6,1,-0.5
1651591416136_d34c7,1,0.5
1651591615124_2lgi2,1,0.5
1651591775457_6fdr1,1,0.5
1651591943765_4jbg4,0,-0.5
1651591977668_qsmor,1,-0.5
1651592077337_qrokd,0,0.5
1651592152067_6qtiz,0,-0.5
